Row_ID,Order_ID,Request_Date,Completion_Date,Customer_ID,Customer_Name
1,CA-2017-152156,2/9/2016,6/7/2017,CG-12520,Claire Gute
2,CA-2017-152156,11/11/2017,11/11/2017,CG-12520,Claire Gute
3,CA-2017-138688,11/11/2017,11/11/2017,DV-13045,Darrin Van Huff
4,US-2016-108966,11/11/2017,11/11/2017,SO-20335,Sean O'Donnell
5,US-2016-108966,11/11/2017,11/11/2017,SO-20335,Sean O'Donnell
6,CA-2015-115812,11/11/2017,11/11/2017,BH-11710,Brosina Hoffman
7,CA-2015-115812,11/11/2017,11/11/2017,BH-11710,Brosina Hoffman
8,CA-2015-115812,11/11/2017,11/11/2017,BH-11710,Brosina Hoffman
9,CA-2015-115812,11/11/2017,11/11/2017,BH-11710,Brosina Hoffman
10,CA-2015-115812,11/11/2017,11/11/2017,BH-11710,Brosina Hoffman
11,CA-2015-115812,11/11/2017,11/11/2017,BH-11710,Brosina Hoffman
12,CA-2015-115812,11/11/2017,11/11/2017,BH-11710,Brosina Hoffman
13,CA-2018-114412,11/11/2017,11/11/2017,AA-10480,Andrew Allen
14,CA-2017-161389,11/11/2017,11/11/2017,IM-15070,Irene Maddox
15,US-2016-118983,11/11/2017,11/11/2017,HP-14815,Harold Pawlan
16,US-2016-118983,11/11/2017,11/11/2017,HP-14815,Harold Pawlan
17,CA-2015-105893,11/11/2017,11/11/2017,PK-19075,Pete Kriz
18,CA-2015-167164,11/11/2017,11/11/2017,AG-10270,Alejandro Grove
19,CA-2015-143336,11/11/2017,11/11/2017,ZD-21925,Zuschuss Donatelli
20,CA-2015-143336,11/11/2017,11/11/2017,ZD-21925,Zuschuss Donatelli
21,CA-2015-143336,11/11/2017,11/11/2017,ZD-21925,Zuschuss Donatelli
22,CA-2017-137330,11/11/2017,11/11/2017,KB-16585,Ken Black
23,CA-2017-137330,11/11/2017,11/11/2017,KB-16585,Ken Black
24,US-2018-156909,11/11/2017,11/11/2017,SF-20065,Sandra Flanagan
25,CA-2016-106320,11/11/2017,11/11/2017,EB-13870,Emily Burns
26,CA-2017-121755,11/11/2017,11/11/2017,EH-13945,Eric Hoffmann
27,CA-2017-121755,11/11/2017,11/11/2017,EH-13945,Eric Hoffmann
28,US-2016-150630,11/11/2017,11/11/2017,TB-21520,Tracy Blumstein
29,US-2016-150630,11/11/2017,11/11/2017,TB-21520,Tracy Blumstein
30,US-2016-150630,11/11/2017,11/11/2017,TB-21520,Tracy Blumstein
31,US-2016-150630,11/11/2017,11/11/2017,TB-21520,Tracy Blumstein
32,US-2016-150630,11/11/2017,11/11/2017,TB-21520,Tracy Blumstein
33,US-2016-150630,11/11/2017,11/11/2017,TB-21520,Tracy Blumstein
34,US-2016-150630,11/11/2017,11/11/2017,TB-21520,Tracy Blumstein
35,CA-2018-107727,11/11/2017,11/11/2017,MA-17560,Matt Abelman
36,CA-2017-117590,11/11/2017,11/11/2017,GH-14485,Gene Hale
37,CA-2017-117590,11/11/2017,11/11/2017,GH-14485,Gene Hale
38,CA-2016-117415,11/11/2017,11/11/2017,SN-20710,Steve Nguyen
39,CA-2016-117415,11/11/2017,11/11/2017,SN-20710,Steve Nguyen
40,CA-2016-117415,11/11/2017,11/11/2017,SN-20710,Steve Nguyen
41,CA-2016-117415,11/11/2017,11/11/2017,SN-20710,Steve Nguyen
42,CA-2018-120999,11/11/2017,11/11/2017,LC-16930,Linda Cazamias
43,CA-2017-101343,11/11/2017,11/11/2017,RA-19885,Ruben Ausman
44,CA-2018-139619,11/11/2017,11/11/2017,ES-14080,Erin Smith
45,CA-2017-118255,11/11/2017,11/11/2017,ON-18715,Odella Nelson
46,CA-2017-118255,11/11/2017,11/11/2017,ON-18715,Odella Nelson
47,CA-2015-146703,11/11/2017,11/11/2017,PO-18865,Patrick O'Donnell
48,CA-2017-169194,11/11/2017,11/11/2017,LH-16900,Lena Hernandez
49,CA-2017-169194,11/11/2017,11/11/2017,LH-16900,Lena Hernandez
50,CA-2016-115742,11/11/2017,11/11/2017,DP-13000,Darren Powers
51,CA-2016-115742,11/11/2017,11/11/2017,DP-13000,Darren Powers
52,CA-2016-115742,11/11/2017,11/11/2017,DP-13000,Darren Powers
53,CA-2016-115742,11/11/2017,11/11/2017,DP-13000,Darren Powers
54,CA-2017-105816,11/11/2017,11/11/2017,JM-15265,Janet Molinari
55,CA-2017-105816,11/11/2017,11/11/2017,JM-15265,Janet Molinari
56,CA-2017-111682,11/11/2017,11/11/2017,TB-21055,Ted Butterfield
57,CA-2017-111682,11/11/2017,11/11/2017,TB-21055,Ted Butterfield
58,CA-2017-111682,11/11/2017,11/11/2017,TB-21055,Ted Butterfield
59,CA-2017-111682,11/11/2017,11/11/2017,TB-21055,Ted Butterfield
60,CA-2017-111682,11/11/2017,11/11/2017,TB-21055,Ted Butterfield
